Price,Cities,departure_time,arrival_time,Airline,Cabin,Dept_city,Dept_date,arrival_city,stops,duration_time,duration,weekday,dept_hours,Dept_flights_time,optimal_hours
5319,"New Delhi to Kolkata , 11 May",06:15,08:20,Vistara,PE,New Delhi,11,Kolkata ,0,0 days 02:05:00,125.0,1,6,Morning_flight,12
7895,"New Delhi to Kochi , 11 May",15:40,18:50,Vistara,PE,New Delhi,11,Kochi ,0,0 days 03:10:00,190.0,1,15,Afternoon_flight,21
13724,"New Delhi to Goa , 11 May",06:15,11:05,Spicejet,PE,New Delhi,11,Goa ,1,0 days 04:50:00,290.0,1,6,Morning_flight,12
5319,"New Delhi to Pune , 11 May",10:25,12:35,Vistara,PE,New Delhi,11,Pune ,0,0 days 02:10:00,130.0,1,10,Morning_flight,16
6689,"New Delhi to Guwahati , 11 May",10:15,12:45,Spicejet,PE,New Delhi,11,Guwahati ,0,0 days 02:30:00,150.0,1,10,Morning_flight,16
3975,"New Delhi to Lucknow , 11 May",13:35,14:50,Vistara,PE,New Delhi,11,Lucknow ,0,0 days 01:15:00,75.0,1,13,Afternoon_flight,19
4965,"New Delhi to Patna , 11 May",15:10,16:55,Spicejet,PE,New Delhi,11,Patna ,0,0 days 01:45:00,105.0,1,15,Afternoon_flight,21
9568,"New Delhi to Thiruvananthapuram , 11 May",06:15,14:45,Spicejet,PE,New Delhi,11,Thiruvananthapuram ,1,0 days 08:30:00,510.0,1,6,Morning_flight,12
5319,"New Delhi to Bhubaneswar , 11 May",07:00,09:05,Vistara,PE,New Delhi,11,Bhubaneswar ,0,0 days 02:05:00,125.0,1,7,Morning_flight,13
4790,"New Delhi to Bagdogra , 11 May",07:50,09:45,Vistara,PE,New Delhi,11,Bagdogra ,0,0 days 01:55:00,115.0,1,7,Morning_flight,13
5389,"New Delhi to Bagdogra , 11 May",09:25,11:35,Spicejet,PE,New Delhi,11,Bagdogra ,0,0 days 02:10:00,130.0,1,9,Morning_flight,15
5075,"New Delhi to Srinagar , 11 May",11:20,12:45,Spicejet,PE,New Delhi,11,Srinagar ,0,0 days 01:25:00,85.0,1,11,Afternoon_flight,17
8088,"New Delhi to Mangalore , 11 May",06:15,08:05,Spicejet,PE,New Delhi,11,Mangalore ,1,0 days 01:50:00,110.0,1,6,Morning_flight,12
9239,"New Delhi to Port Blair , 11 May",06:15,11:20,Vistara,PE,New Delhi,11,Port Blair ,1,0 days 05:05:00,305.0,1,6,Morning_flight,12
8414,"New Delhi to Port Blair , 11 May",18:20,08:15,Spicejet,PE,New Delhi,11,Port Blair ,1,-1 days +13:55:00,835.0,1,18,Evening_flight,0
6147,"Mumbai to New Delhi , 11 May",19:45,21:55,Vistara,PE,Mumbai,11,New Delhi ,0,0 days 02:10:00,130.0,1,19,Evening_flight,1
6147,"Mumbai to New Delhi , 11 May",10:25,12:40,Vistara,PE,Mumbai,11,New Delhi ,0,0 days 02:15:00,135.0,1,10,Morning_flight,16
5350,"Mumbai to New Delhi , 11 May",22:50,07:45,Spicejet,PE,Mumbai,11,New Delhi ,1,-1 days +08:55:00,535.0,1,22,Night_flight,4
8890,"Mumbai to Bengaluru , 11 May",10:25,17:05,Vistara,PE,Mumbai,11,Bengaluru ,1,0 days 06:40:00,400.0,1,10,Morning_flight,16
8890,"Mumbai to Bengaluru , 11 May",19:45,17:05,Vistara,PE,Mumbai,11,Bengaluru ,1,-1 days +21:20:00,1280.0,1,19,Evening_flight,1
7980,"Mumbai to Hyderabad , 11 May",10:25,17:00,Vistara,PE,Mumbai,11,Hyderabad ,1,0 days 06:35:00,395.0,1,10,Morning_flight,16
7980,"Mumbai to Hyderabad , 11 May",19:45,17:00,Vistara,PE,Mumbai,11,Hyderabad ,1,-1 days +21:15:00,1275.0,1,19,Evening_flight,1
4322,"Mumbai to Hyderabad , 11 May",17:55,16:30,Spicejet,PE,Mumbai,11,Hyderabad ,1,-1 days +22:35:00,1355.0,1,17,Evening_flight,23
7980,"Mumbai to Kolkata , 11 May",19:45,09:35,Vistara,PE,Mumbai,11,Kolkata ,1,-1 days +13:50:00,830.0,1,19,Evening_flight,1
7980,"Mumbai to Kolkata , 11 May",10:25,09:35,Vistara,PE,Mumbai,11,Kolkata ,1,-1 days +23:10:00,1390.0,1,10,Morning_flight,16
9653,"Mumbai to Kochi , 11 May",10:25,18:50,Vistara,PE,Mumbai,11,Kochi ,1,0 days 08:25:00,505.0,1,10,Morning_flight,15
3963,"Mumbai to Goa , 11 May",11:25,12:45,Vistara,PE,Mumbai,11,Goa ,0,0 days 01:20:00,80.0,1,11,Afternoon_flight,16
7959,"Mumbai to Guwahati , 11 May",19:45,12:05,Vistara,PE,Mumbai,11,Guwahati ,1,-1 days +16:20:00,980.0,1,19,Evening_flight,0
7977,"Mumbai to Guwahati , 11 May",14:15,16:45,Spicejet,PE,Mumbai,11,Guwahati ,0,0 days 02:30:00,150.0,1,14,Afternoon_flight,19
7032,"Mumbai to Lucknow , 11 May",10:25,14:50,Vistara,PE,Mumbai,11,Lucknow ,1,0 days 04:25:00,265.0,1,10,Morning_flight,15
4724,"Mumbai to Jaipur , 11 May",22:50,21:50,Spicejet,PE,Mumbai,11,Jaipur ,1,-1 days +23:00:00,1380.0,1,22,Night_flight,3
7142,"Mumbai to Patna , 11 May",10:25,13:00,Spicejet,PE,Mumbai,11,Patna ,0,0 days 02:35:00,155.0,1,10,Morning_flight,15
11270,"Mumbai to Patna , 11 May",22:50,16:15,Spicejet,PE,Mumbai,11,Patna ,1,-1 days +17:25:00,1045.0,1,22,Night_flight,3
7978,"Mumbai to Bhubaneswar , 11 May",19:45,09:05,Vistara,PE,Mumbai,11,Bhubaneswar ,1,-1 days +13:20:00,800.0,1,19,Evening_flight,0
7179,"Mumbai to Bagdogra , 11 May",19:45,09:45,Vistara,PE,Mumbai,11,Bagdogra ,1,-1 days +14:00:00,840.0,1,19,Evening_flight,0
6385,"Mumbai to Bagdogra , 12 May",05:50,12:50,Spicejet,PE,Mumbai,12,Bagdogra ,1,0 days 07:00:00,420.0,2,5,Morning_flight,10
6385,"Mumbai to Bagdogra , 12 May",16:10,08:25,Spicejet,PE,Mumbai,12,Bagdogra ,1,-1 days +16:15:00,975.0,2,16,Evening_flight,21
